Admission Date,"B,D,A",White,Hispanic
7/10/15,Before,72,38
7/10/16,Before,58,39
7/10/17,Before,68,38
7/10/18,Before,67,33
7/10/19,Before,69,36
7/10/20,Before,72,46
7/10/21,During,73,37
7/10/22,During,100,36
7/10/23,During,82,45
7/10/24,During,80,43
7/10/25,During,86,36
7/10/26,During,82,28
7/10/27,During,69,43
7/10/28,During,72,47
7/10/29,During,82,31
7/10/30,During,72,27
7/10/31,During,66,24
7/11/01,During,67,38
7/11/02,During,67,39
7/11/03,During,75,29
7/11/04,During,65,34
7/11/05,During,76,33
7/11/06,During,67,41
7/11/07,During,54,26
7/11/08,During,75,31
7/11/09,During,69,27
7/11/10,During,78,38
7/11/11,During,61,36
7/11/12,During,74,27
7/11/13,During,76,30
7/11/14,After,77,44
7/11/15,After,72,37
7/11/16,After,79,30
7/11/17,After,78,37
7/11/18,After,66,25
7/11/19,After,70,29
7/11/20,After,78,33
